time (us),flowVelocityX[cm/s],secFlowVelocityX[cm/s]
37853583,0,0
37885858,0,0
37886864,0,0
37887902,0,0
37888876,0,0
37889885,0,0
37890894,0,0
37891894,0,0
37892900,0,0
37893923,0,0
37894908,0,0
37895926,0,0
37896910,0,0
37897910,0,0
37898916,0,0
37899923,0,0
37900961,0,0
37901949,0,0
37902938,0,0
37903937,0,0
37904941,0,0
37905946,0,0
37906954,0,0
37907967,0,0
37908978,0,0
37909964,0,0
37910972,0,0
37911971,0,0
37912988,0,0
37914007,0,0
37915005,0,0
37915987,0,0
37916987,0,0
37917993,0,0
37919043,0,0
37920044,0,0
37921086,0,0
37922065,0,0
37923059,0,0
37924054,0,0
37925059,0,0
37926061,0,0
37927065,0,0
37928079,0,0
37929095,0,0
37930078,0,0
37931086,0,0
37932080,0,0
37933098,0,0
37934125,0,0
37935117,0,0
37936097,0,0
37937102,0,0
37938105,0,0
37939110,0,0
37940119,0,0
37941167,0,0
37942150,0,0
37943137,0,0
37944135,0,0
37945143,0,0
37946152,0,0
37947164,0,0
37948185,0,0
37949194,0,0
37950180,0,0
37951190,0,0
37952189,0,0
37953197,0,0
37954221,0,0
37955210,0,0
37956197,0,0
37957200,0,0
37958203,0,0
37959208,0,0
37960210,0,0
37961250,0,0
37962245,0,0
37963235,0,0
37964242,0,0
37965243,0,0
37966244,0,0
37967253,0,0
37968252,0,0
37969269,0,0
37970253,0,0
37971260,0,0
37972261,0,0
37973268,0,0
37974306,0,0
37975290,0,0
37976280,0,0
37977280,0,0
37978281,0,0
37979282,0,0
37980283,0,0
37981306,0,0
37982309,0,0
37983304,0,0
37984302,0,0
37985310,0,0
37986312,0,0
37987347,0,0
37988386,0,0
37989371,0,0
37990369,0,0
37991380,0,0
37992377,0,0
37993388,0,0
37994447,0,0
37995417,0,0
37996409,0,0
37997413,0,0
37998417,0,0
37999418,0,0
38000422,0,0
38001441,0,0
38002448,0,0
38003442,0,0
38004451,0,0
38005454,0,0
38006455,0,0
38007495,0,0
38008481,0,0
38009465,0,0
38010467,0,0
38011480,0,0
38012483,0,0
38013492,0,0
38014525,0,0
38015502,0,0
38016502,0,0
38017509,0,0
38018519,0,0
38019524,0,0
38020526,0,0
38021542,0,0
38022551,0,0
38023534,0,0
38024546,0,0
38025545,0,0
38026553,0,0
38027589,0,0
38028589,0,0
38029570,0,0
38030576,0,0
38031587,0,0
38032592,0,0
38033591,0,0
38034619,0,0
38035623,0,0
38036613,0,0
38037615,0,0
38038621,0,0
38039624,0,0
38040681,0,0
38041664,0,0
38042677,0,0
38043658,0,0
38044660,0,0
38045661,0,0
38046662,0,0
38047707,0,0
38048686,0,0
38049676,0,0
38050677,0,0
38051688,0,0
38052691,0,0
38053693,0,0
38054700,0,0
38055713,0,0
38056697,0,0
38057706,0,0
38058707,0,0
38059710,0,0
38060746,0,0
38061766,0,0
38062753,0,0
38063753,0,0
38064756,0,0
38065769,0,0
38066768,0,0
38067800,0,0
38068793,0,0
38069780,0,0
38070780,0,0
38071788,0,0
38072788,0,0
38073795,0,0
38074796,0,0
38075826,0,0
38076806,0,0
38077811,0,0
38078816,0,0
38079819,0,0
38080852,0,0
38081845,0,0
38082830,0,0
38083833,0,0
38084842,0,0
38085850,0,0
38086851,0,0
38087881,0,0
38088882,0,0
38089870,0,0
38090868,0,0
38091871,0,0
38092880,0,0
38093890,0,0
38094883,0,0
38095904,0,0
38096889,0,0
38097893,0,0
38098897,0,0
38099905,0,0
38100938,0,0
38101928,0,0
38102913,0,0
38103917,0,0
38104919,0,0
38105933,0,0
38106927,0,0
38107958,0,0
38108953,0,0
38109943,0,0
38110948,0,0
38111954,0,0
38112959,0,0
38113978,0,0
38114982,0,0
38115964,0,0
38116966,0,0
38117971,0,0
38118974,0,0
38119977,0,0
38121017,0,0
38121994,0,0
38123002,0,0
38123999,0,0
38125004,0,0
38126005,0,0
38127009,0,0
38128023,0,0
38129037,0,0
38130029,0,0
38131036,0,0
38132045,0,0
38133096,0,0
38134123,0,0
38135113,0,0
38136102,0,0
38137105,0,0
38138113,0,0
38139113,0,0
38140116,0,0
38141155,0,0
38142156,0,0
38143135,0,0
38144144,0,0
38145149,0,0
38146149,0,0
38147155,0,0
38148151,0,0
38149173,0,0
38150165,0,0
38151169,0,0
38152186,0,0
38153177,0,0
38154211,0,0
38155199,0,0
38156188,0,0
38157195,0,0
38158190,0,0
38159189,0,0
38160198,0,0
38161229,0,0
38162225,0,0
38163207,0,0
38164210,0,0
38165214,0,0
38166219,0,0
38167248,0,0
38168236,0,0
38169248,0,0
38170233,0,0
38171238,0,0
38172253,0,0
38173247,0,0
38174280,0,0
38175267,0,0
38176258,0,0
38177271,0,0
38178269,0,0
38179268,0,0
38180274,0,0
38181301,0,0
38182314,0,0
38183293,0,0
38184300,0,0
38185301,0,0
38186305,0,0
38187350,0,0
38188359,0,0
38189353,0,0
38190359,0,0
38191362,0,0
38192372,0,0
38193363,0,0
38194398,0,0
38195390,0,0
38196378,0,0
38197376,0,0
38198375,0,0
38199380,0,0
38200385,0,0
38201398,0,0
38202425,0,0
38203390,0,0
38204399,0,0
38205403,0,0
38206408,0,0
38207448,0,0
38208442,0,0
38209456,0,0
38210439,0,0
38211440,0,0
38212458,0,0
38213446,0,0
38214487,0,0
38215453,0,0
38216457,0,0
38217463,0,0
38218462,0,0
38219466,0,0
38220471,0,0
38221483,0,0
38222510,0,0
38223483,0,0
38224483,0,0
38225488,0,0
38226494,0,0
38227532,0,0
38228524,0,0
38229513,0,0
38230518,0,0
38231527,0,0
38232543,0,0
38233538,0,0
38234568,0,0
38235557,0,0
38236547,0,0
38237547,0,0
38238556,0,0
38239563,0,0
38240567,0,0
38241567,0,0
38242594,0,0
38243572,0,0
38244580,0,0
38245581,0,0
38246580,0,0
38247613,0,0
38248607,0,0
38249595,0,0
38250598,0,0
38251604,0,0
38252613,0,0
38253607,0,0
38254650,0,0
38255622,0,0
38256631,0,0
38257635,0,0
38258648,0,0
38259653,0,0
38260688,0,0
38261664,0,0
38262694,0,0
38263675,0,0
38264679,0,0
38265681,0,0
38266682,0,0
38267723,0,0
38268709,0,0
38269691,0,0
38270700,0,0
38271717,0,0
38272717,0,0
38273719,0,0
38274729,0,0
38275749,0,0
38276735,0,0
38277742,0,0
38278752,0,0
38279750,0,0
38280783,0,0
38281780,0,0
38282773,0,0
38283768,0,0
38284772,0,0
38285776,0,0
38286779,0,0
38287815,0,0
38288803,0,0
38289797,0,0
38290790,0,0
38291795,0,0
38292799,0,0
38293798,0,0
38294811,0,0
38295825,0,0
38296809,0,0
38297816,0,0
38298824,0,0
38299825,0,0
38300865,0,0
38301848,0,0
38302835,0,0
38303840,0,0
38304841,0,0
38305852,0,0
38306847,0,0
38307880,0,0
38308867,0,0
38309855,0,0
38310861,0,0
38311868,0,0
38312870,0,0
38313870,0,0
38314906,0,0
38315879,0,0
38316879,0,0
38317882,0,0
38318884,0,0
38319894,0,0
38320896,0,0
38321937,0,0
38322926,0,0
38323915,0,0
38324918,0,0
38325924,0,0
38326930,0,0
38327944,0,0
38328951,0,0
38329943,0,0
38330940,0,0
38331953,0,0
38332964,0,0
38333976,0,0
38334965,0,0
38335986,0,0
38337041,0,0
38338040,0,0
38339042,0,0
38340057,0,0
38341091,0,0
38342075,0,0
38343061,0,0
38344064,0,0
38345065,0,0
38346065,0,0
38347068,0,0
38348071,0,0
38349087,0,0
38350084,0,0
38351085,0,0
38352094,0,0
38353099,0,0
38354126,0,0
38355117,0,0
38356100,0,0
38357101,0,0
38358106,0,0
38359106,0,0
38360111,0,0
38361149,0,0
38362140,0,0
38363125,0,0
38364144,0,0
38365152,0,0
38366158,0,0
38367163,0,0
38368172,0,0
38369192,0,0
38370188,0,0
38371190,0,0
38372196,0,0
38373201,0,0
38374232,0,0
38375220,0,0
38376202,0,0
38377207,0,0
38378207,0,0
38379213,0,0
38380218,0,0
38381249,0,0
38382216,0,0
38383231,0,0
38384224,0,0
38385226,0,0
38386230,0,0
38387260,0,0
38388247,0,0
38389271,0,0
38390266,0,0
38391259,0,0
38392260,0,0
38393273,0,0
38394310,0,0
38395294,0,0
38396286,0,0
38397284,0,0
38398285,0,0
38399285,0,0
38400288,0,0
38401313,0,0
38402312,0,0
38403310,0,0
38404314,0,0
38405318,0,0
38406319,0,0
38407348,0,0
38408335,0,0
38409358,0,0
38410343,0,0
38411358,0,0
38412356,0,0
38413359,0,0
38414397,0,0
38415366,0,0
38416370,0,0
38417372,0,0
38418372,0,0
38419374,0,0
38420381,0,0
38421405,0,0
38422415,0,0
38423408,0,0
38424404,0,0
38425412,0,0
38426421,0,0
38427457,0,0
38428439,0,0
38429432,0,0
38430432,0,0
38431448,0,0
38432443,0,0
38433456,0,0
38434489,0,0
38435475,0,0
38436460,0,0
38437468,0,0
38438467,0,0
38439470,0,0
38440474,0,0
38441497,0,0
38442497,0,0
38443490,0,0
38444491,0,0
38445489,0,0
38446495,0,0
38447527,0,0
38448520,0,0
38449503,0,0
38450506,0,0
38451521,0,0
38452523,0,0
38453528,0,0
38454556,0,0
38455543,0,0
38456563,0,0
38457563,0,0
38458564,0,0
38459569,0,0
38460587,0,0
38461591,0,0
38462596,0,0
38463592,0,0
38464590,0,0
38465589,0,0
38466592,0,0
38467630,0,0
38468619,0,0
38469604,0,0
38470611,0,0
38471619,0,0
38472617,0,0
38473626,0,0
38474644,0,0
